host_type,major_releases,censored,duration_months,high_rev_freq,multi_repo,high_author_count
deb,False,False,73,False,False,False
deb,False,False,59,False,False,False
deb,False,False,49,False,False,False
deb,False,False,71,False,False,False
deb,False,False,98,False,False,False
deb,False,True,72,False,False,False
deb,False,True,41,True,True,False
deb,False,False,50,False,False,False
deb,False,False,46,False,False,False
deb,False,True,71,False,False,False
deb,False,False,69,False,False,False
deb,False,True,79,False,False,False
deb,False,True,55,False,False,False
deb,False,False,60,False,False,False
deb,False,False,40,True,False,False
deb,False,True,22,True,False,False
deb,False,True,12,True,False,False
deb,False,True,73,False,False,False
deb,False,True,49,False,True,False
deb,False,False,64,False,False,False
deb,False,False,45,False,False,False
deb,False,True,58,False,True,False
deb,False,True,63,False,False,False
deb,False,False,54,False,False,False
deb,False,False,56,False,False,False
deb,False,False,30,True,False,False
deb,False,True,4,True,False,False
deb,False,True,68,False,True,False
deb,False,True,33,True,False,False
deb,False,False,94,False,False,False
deb,False,False,96,False,False,False
deb,False,False,53,False,False,False
deb,False,True,48,False,False,False
deb,False,True,68,False,False,False
deb,False,False,0,True,False,False
deb,False,False,0,True,False,False
deb,False,True,31,False,False,False
deb,False,False,57,False,False,False
deb,False,True,71,False,False,False
deb,False,True,86,False,False,False
deb,False,True,68,False,False,False
deb,False,False,57,False,False,False
deb,False,False,50,False,False,False
deb,False,True,17,True,False,False
deb,False,True,73,False,True,False
deb,False,False,52,False,True,False
deb,False,True,71,False,False,False
deb,False,False,56,False,False,False
deb,False,True,53,False,False,False
deb,False,False,17,True,False,False
deb,False,False,14,True,False,False
deb,False,False,65,False,False,False
deb,False,True,57,False,False,False
deb,False,True,48,False,False,False
deb,False,False,27,True,False,False
deb,False,True,50,False,False,False
deb,False,False,0,True,False,False
deb,False,True,64,False,True,False
deb,False,True,100,False,False,False
deb,False,True,5,True,False,False
deb,False,False,73,False,False,False
deb,False,True,73,False,False,False
deb,False,True,15,False,False,False
deb,False,False,51,False,False,False
deb,False,False,0,True,False,False
deb,False,False,0,True,False,False
deb,False,True,58,False,False,False
deb,False,True,62,False,False,False
deb,False,True,14,True,False,False
deb,False,True,94,False,False,False
deb,False,True,46,False,False,False
deb,False,False,43,True,False,False
deb,False,True,14,True,False,False
deb,False,False,58,False,False,False
deb,False,False,15,True,False,False
deb,False,True,10,True,False,False
deb,False,False,89,False,False,False
deb,False,False,91,False,False,False
deb,False,True,65,False,False,False
deb,False,True,100,False,False,False
deb,False,True,140,False,False,False
deb,False,False,80,False,False,False
deb,False,True,37,False,False,False
deb,False,True,0,True,False,False
deb,False,False,68,False,False,False
deb,False,True,12,True,False,False
deb,False,True,58,False,False,False
deb,False,True,76,False,True,False
deb,False,True,78,False,False,False
deb,False,False,49,False,False,False
deb,False,False,86,False,False,False
deb,False,True,64,False,False,False
deb,False,True,71,False,False,False
deb,False,True,69,False,False,False
deb,False,True,40,True,False,False
deb,False,False,68,False,False,False
deb,False,True,67,False,False,False
deb,False,True,12,True,False,False
deb,False,False,58,False,False,False
deb,False,False,21,False,False,False
deb,False,True,38,False,False,False
deb,False,True,35,True,False,False
deb,False,False,21,True,False,False
deb,False,True,10,True,False,False
deb,False,False,84,False,False,False
deb,False,False,0,True,False,False
deb,False,False,74,False,False,False
deb,False,False,42,True,False,False
deb,False,False,45,False,False,False
deb,False,False,41,False,False,False
deb,False,True,42,False,False,False
deb,False,True,73,False,False,False
deb,False,False,51,False,False,False
deb,False,True,22,True,False,False
deb,False,False,103,False,False,False
deb,False,False,97,False,False,False
deb,False,True,58,False,False,False
deb,False,False,16,True,False,False
deb,False,False,86,False,False,False
deb,False,False,58,False,False,False
deb,False,False,64,False,False,False
deb,False,True,70,False,False,False
deb,False,False,78,False,False,False
deb,False,True,66,False,False,False
deb,False,False,68,False,False,False
deb,False,True,70,False,False,False
deb,False,False,51,False,False,False
deb,False,True,37,False,True,False
deb,False,False,51,False,False,False
deb,False,True,0,True,True,False
deb,False,True,72,False,False,False
deb,False,False,77,False,False,False
deb,False,True,72,False,False,False
deb,False,True,73,False,False,False
deb,False,True,70,False,False,False
deb,False,False,0,True,False,False
deb,False,True,44,False,True,False
deb,False,True,40,False,False,False
deb,False,True,12,True,False,False
deb,False,False,70,False,False,False
deb,False,True,104,False,False,False
deb,False,True,67,False,False,False
deb,False,False,120,False,False,False
deb,False,False,0,True,False,False
deb,False,True,63,False,False,False
deb,False,True,40,False,False,False
deb,False,False,63,False,False,False
deb,False,False,83,False,False,False
deb,False,False,37,True,False,False
deb,False,True,41,True,False,False
deb,False,False,12,True,False,False
deb,False,True,95,False,False,False
deb,False,True,108,False,False,False
deb,False,True,71,False,False,False
deb,False,False,62,False,False,False
deb,False,True,69,False,False,False
deb,False,True,43,False,False,False
deb,False,True,78,False,False,False
deb,False,True,57,False,False,False
deb,False,False,48,False,False,False
deb,False,False,73,False,False,False
deb,False,True,0,True,False,False
deb,False,False,67,False,False,False
deb,False,False,51,False,False,False
deb,False,True,27,True,False,False
deb,False,False,56,False,False,False
deb,False,True,0,True,False,False
deb,False,False,43,False,False,False
deb,False,True,25,True,False,False
deb,False,False,0,True,False,False
deb,False,False,3,True,False,False
deb,False,True,31,True,False,False
deb,False,True,62,False,False,False
deb,False,True,41,False,True,False
deb,False,False,16,True,False,False
deb,False,True,71,False,False,False
deb,False,True,44,False,False,False
deb,False,True,0,True,False,False
deb,False,True,41,False,False,False
deb,False,True,41,False,False,False
deb,False,False,47,True,False,False
deb,False,True,66,False,False,False
deb,False,False,18,True,False,False
deb,False,True,30,False,False,False
deb,False,True,13,True,False,False
deb,False,True,81,False,False,False
deb,False,False,45,False,False,False
deb,False,True,63,False,False,False
deb,False,False,41,False,False,False
deb,False,True,68,False,False,False
deb,False,True,72,False,False,False
deb,False,True,78,False,False,False
deb,False,False,20,True,False,False
deb,False,False,56,False,False,False
deb,False,True,35,False,False,False
deb,False,False,0,True,False,False
deb,False,False,71,False,False,False
deb,False,False,0,True,False,False
deb,False,False,73,False,False,False
deb,False,False,0,True,False,False
deb,False,True,76,False,False,False
deb,False,False,0,True,False,False
deb,False,True,52,False,False,False
deb,False,True,40,False,False,False
